F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.02,0.12,0.12,0.01,Random_Sampling,NewsTopic,XLMR-Base,0,72,7120,3081,1.0,0.0004580983957307,1.4793197797931646e-07,0.0030504096989869,6.39470362663269,0.0090656280517578,"[0.18055555555555555, 0.16666666666666666, 0.1388888888888889, 0.125, 0.125, 0.125, 0.08333333333333333, 0.041666666666666664, 0.013888888888888888]","[0.26, 0.18, 0.16, 0.1, 0.1, 0.08, 0.06, 0.04, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:36:21,10273
0.19,0.29,0.29,0.49,Random_Sampling,NewsTopic,XLMR-Base,1,122,7070,3081,1.7,0.000662812756394,1.49494381186468e-07,0.0030550651866457,10.67896819114685,0.0093176364898681,"[0.18032786885245902, 0.14754098360655737, 0.14754098360655737, 0.13934426229508196, 0.12295081967213115, 0.12295081967213115, 0.08196721311475409, 0.03278688524590164, 0.02459016393442623]","[0.28, 0.24, 0.12, 0.08, 0.08, 0.06, 0.06, 0.06, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:37:21,10273
0.27,0.39,0.39,0.23,Random_Sampling,NewsTopic,XLMR-Base,2,172,7020,3081,2.39,0.0016310018607652,1.4854573018352481e-07,0.0029496432293645,15.104642391204834,0.0093796253204345,"[0.20930232558139536, 0.1686046511627907, 0.12790697674418605, 0.11046511627906977, 0.11046511627906977, 0.10465116279069768, 0.0755813953488372, 0.05813953488372093, 0.03488372093023256]","[0.24, 0.16, 0.16, 0.12, 0.1, 0.08, 0.06, 0.04, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:38:25,10273
0.3,0.4,0.4,0.39,Random_Sampling,NewsTopic,XLMR-Base,3,222,6970,3081,3.09,0.0019699900326571,9.24653833151876e-08,0.003090178560487,19.454232931137085,0.004908800125122,"[0.18468468468468469, 0.18468468468468469, 0.12612612612612611, 0.12162162162162163, 0.11711711711711711, 0.0945945945945946, 0.07207207207207207, 0.05405405405405406, 0.04504504504504504]","[0.22, 0.18, 0.14, 0.1, 0.08, 0.08, 0.08, 0.06, 0.06]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:39:34,10273
0.41,0.48,0.48,0.4,Random_Sampling,NewsTopic,XLMR-Base,4,272,6920,3081,3.78,0.0022115868712504,7.6645974800964e-08,0.003076683011055,23.878559589385983,0.0045990943908691,"[0.19117647058823528, 0.16176470588235295, 0.12867647058823528, 0.125, 0.1213235294117647, 0.09191176470588236, 0.07352941176470588, 0.058823529411764705, 0.04779411764705882]","[0.26, 0.18, 0.16, 0.12, 0.08, 0.08, 0.06, 0.04, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:40:47,10273
0.54,0.6,0.6,0.57,Random_Sampling,NewsTopic,XLMR-Base,5,322,6870,3081,4.48,0.0020434578669632,1.4081549483900164e-07,0.0031140140005921,28.30627942085266,0.0083849430084228,"[0.20186335403726707, 0.16149068322981366, 0.13664596273291926, 0.11801242236024845, 0.11490683229813664, 0.09627329192546584, 0.06832298136645963, 0.059006211180124224, 0.043478260869565216]","[0.24, 0.22, 0.18, 0.1, 0.08, 0.06, 0.06, 0.04, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:42:05,10273
0.6,0.66,0.66,0.58,Random_Sampling,NewsTopic,XLMR-Base,6,372,6820,3081,5.17,0.003409284507706,9.01531436890476e-08,0.0030252173038132,32.61326479911804,0.0053577423095703,"[0.20430107526881722, 0.15053763440860216, 0.1424731182795699, 0.13440860215053763, 0.10752688172043011, 0.0967741935483871, 0.06182795698924731, 0.056451612903225805, 0.0456989247311828]","[0.18, 0.16, 0.14, 0.14, 0.12, 0.1, 0.08, 0.04, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:43:27,10273
0.63,0.66,0.66,0.65,Random_Sampling,NewsTopic,XLMR-Base,7,422,6770,3081,5.87,0.0037178950907429,9.05316813016196e-08,0.0029587435482339,37.08458614349365,0.0049998760223388,"[0.1990521327014218, 0.15402843601895735, 0.13507109004739337, 0.13033175355450238, 0.10900473933649289, 0.0971563981042654, 0.06635071090047394, 0.06398104265402843, 0.045023696682464455]","[0.18, 0.18, 0.16, 0.16, 0.14, 0.08, 0.06, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:44:54,10273
0.6,0.67,0.67,0.64,Random_Sampling,NewsTopic,XLMR-Base,8,472,6720,3081,6.56,0.0040261179479066,7.509506291618826e-08,0.0030523942705923,41.46897792816162,0.0050511360168457,"[0.19279661016949154, 0.15466101694915255, 0.13983050847457626, 0.13559322033898305, 0.1059322033898305, 0.1038135593220339, 0.0635593220338983, 0.0614406779661017, 0.0423728813559322]","[0.2, 0.14, 0.12, 0.12, 0.12, 0.08, 0.08, 0.08, 0.06]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:46:25,10273
0.65,0.69,0.69,0.64,Random_Sampling,NewsTopic,XLMR-Base,9,522,6670,3081,7.26,0.004977931523684,8.934567343866751e-08,0.0030996254528148,45.89187860488892,0.0061378479003906,"[0.18199233716475097, 0.15900383141762453, 0.13793103448275862, 0.13409961685823754, 0.10727969348659004, 0.10344827586206896, 0.06513409961685823, 0.06130268199233716, 0.04980842911877394]","[0.18, 0.16, 0.14, 0.14, 0.14, 0.12, 0.04, 0.04, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:48:00,10273
0.79,0.79,0.79,0.8,Random_Sampling,NewsTopic,XLMR-Base,10,572,6620,3081,7.95,0.0051192222256607,1.0421002300662788e-07,0.002745079524297,50.21251034736633,0.0063064098358154,"[0.17832167832167833, 0.1590909090909091, 0.1381118881118881, 0.13286713286713286, 0.11013986013986014, 0.11013986013986014, 0.06293706293706294, 0.05944055944055944, 0.04895104895104895]","[0.26, 0.14, 0.12, 0.12, 0.12, 0.1, 0.1, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:49:40,10273
0.75,0.76,0.76,0.76,Random_Sampling,NewsTopic,XLMR-Base,11,622,6570,3081,8.65,0.0055534385861542,1.3300226159347166e-07,0.0028923267124536,54.6570348739624,0.0089216232299804,"[0.18488745980707397, 0.15594855305466238, 0.1382636655948553, 0.1302250803858521, 0.11093247588424437, 0.10289389067524116, 0.06752411575562701, 0.05627009646302251, 0.05305466237942122]","[0.2, 0.18, 0.18, 0.14, 0.12, 0.1, 0.04, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:51:24,10273
0.8,0.8,0.8,0.8,Random_Sampling,NewsTopic,XLMR-Base,12,672,6520,3081,9.34,0.0059837473548997,7.525672285442018e-08,0.0028144042659824,58.962536334991455,0.0046935081481933,"[0.18452380952380953, 0.15327380952380953, 0.14285714285714285, 0.13392857142857142, 0.1130952380952381, 0.10267857142857142, 0.06547619047619048, 0.05357142857142857, 0.050595238095238096]","[0.2, 0.2, 0.14, 0.12, 0.08, 0.08, 0.06, 0.06, 0.06]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:53:12,10273
0.77,0.78,0.78,0.79,Random_Sampling,NewsTopic,XLMR-Base,13,722,6470,3081,10.04,0.0066267697950648,7.48450860034933e-08,0.0024713726778531,63.43523049354553,0.0047094821929931,"[0.18005540166204986, 0.15650969529085873, 0.14265927977839335, 0.13850415512465375, 0.10941828254847645, 0.10110803324099724, 0.06509695290858726, 0.055401662049861494, 0.05124653739612189]","[0.16, 0.16, 0.14, 0.12, 0.12, 0.1, 0.1, 0.08, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-08 10:55:05,10273
